   52     0.5552   5.6048  -0.83216E-01   0.14196E-02   0.13884E+00   0.11834E+02   0.14303E+00
   53     0.5687   5.6963  -0.85555E-01   0.14183E-02   0.13884E+00   0.11748E+02   0.14532E+00
   54     0.5823   5.7871  -0.87925E-01   0.14145E-02   0.13884E+00   0.11663E+02   0.14763E+00
   55     0.5961   5.8771  -0.90326E-01   0.14080E-02   0.13883E+00   0.11578E+02   0.14996E+00
   56     0.6099   5.9663  -0.92756E-01   0.13990E-02   0.13882E+00   0.11494E+02   0.15232E+00
   57     0.6239   6.0548  -0.95217E-01   0.13876E-02   0.13881E+00   0.11410E+02   0.15469E+00
   58     0.6381   6.1425  -0.97707E-01   0.13737E-02   0.13880E+00   0.11327E+02   0.15709E+00
   59     0.6523   6.2295  -0.10023E+00   0.13568E-02   0.13878E+00   0.11245E+02   0.15952E+00
   60     0.6667   6.3157  -0.10278E+00   0.13370E-02   0.13876E+00   0.11163E+02   0.16198E+00
   61     0.6812   6.4011  -0.10537E+00   0.13143E-02   0.13874E+00   0.11082E+02   0.16445E+00
   62     0.6958   6.4858  -0.10798E+00   0.12881E-02   0.13871E+00   0.11001E+02   0.16696E+00
   63     0.7105   6.5697  -0.11063E+00   0.12590E-02   0.13868E+00   0.10921E+02   0.16950E+00
   64     0.7254   6.6529  -0.11331E+00   0.12262E-02   0.13865E+00   0.10841E+02   0.17204E+00
   65     0.7404   6.7353  -0.11602E+00   0.11902E-02   0.13861E+00   0.10762E+02   0.17464E+00
   66     0.7555   6.8170  -0.11877E+00   0.11503E-02   0.13857E+00   0.10684E+02   0.17724E+00
   67     0.7708   6.8979  -0.12155E+00   0.11074E-02   0.13853E+00   0.10606E+02   0.17987E+00
   68     0.7862   6.9781  -0.12435E+00   0.10616E-02   0.13849E+00   0.10529E+02   0.18251E+00
   69     0.8017   7.0575  -0.12720E+00   0.10124E-02   0.13844E+00   0.10452E+02   0.18518E+00
   70     0.8174   7.1361  -0.13007E+00   0.95931E-03   0.13838E+00   0.10376E+02   0.18789E+00
   71     0.8332   7.2140  -0.13297E+00   0.90259E-03   0.13833E+00   0.10300E+02   0.19062E+00
   72     0.8491   7.2912  -0.13591E+00   0.84172E-03   0.13827E+00   0.10225E+02   0.19338E+00
   73     0.8652   7.3676  -0.13889E+00   0.77718E-03   0.13820E+00   0.10151E+02   0.19617E+00
   74     0.8814   7.4433  -0.14190E+00   0.70844E-03   0.13813E+00   0.10077E+02   0.19898E+00
   75     0.8977   7.5182  -0.14494E+00   0.63467E-03   0.13806E+00   0.10004E+02   0.20181E+00
   76     0.9142   7.5924  -0.14802E+00   0.55733E-03   0.13798E+00   0.99308E+01   0.20467E+00
   77     0.9309   7.6659  -0.15113E+00   0.47527E-03   0.13790E+00   0.98587E+01   0.20753E+00
   78     0.9477   7.7386  -0.15427E+00   0.38863E-03   0.13781E+00   0.97871E+01   0.21042E+00
   79     0.9646   7.8107  -0.15746E+00   0.29759E-03   0.13772E+00   0.97161E+01   0.21334E+00
   80     0.9817   7.8820  -0.16067E+00   0.20243E-03   0.13763E+00   0.96457E+01   0.21627E+00
   81     0.9989   7.9525  -0.16392E+00   0.10276E-03   0.13753E+00   0.95757E+01   0.21924E+00
   82     1.0163   8.0224  -0.16720E+00  -0.14496E-05   0.13742E+00   0.95064E+01   0.22224E+00
   83     1.0338   8.0915  -0.17052E+00  -0.11083E-03   0.13731E+00   0.94376E+01   0.22524E+00
